Company,RAM,Storage,Battery,Price
2,8,256,7900,24658.0
1,4,256,6900,31038.0
7,6,256,7600,18852.0
2,4,64,4900,12478.0
5,6,64,3000,8240.0
3,6,64,3600,10752.0
6,8,64,6000,8100.0
1,8,128,4900,23918.0
8,4,64,8000,6540.0
8,4,256,7300,18046.0
6,4,128,6900,11358.0
7,6,64,4700,7274.0
4,6,128,5800,12636.0
3,8,256,3600,22572.0
3,6,64,5300,10786.0
7,8,64,7200,7624.0
4,6,128,5700,12634.0
1,8,128,3200,23884.0
3,4,256,3400,21968.0
1,4,64,7000,19520.0
6,6,256,4800,19296.0
6,8,128,7500,11970.0
8,6,256,5500,18310.0
7,8,128,6700,11454.0
4,6,64,7100,8822.0
3,6,256,5700,22314.0
4,4,128,6100,12342.0
5,8,256,5300,20106.0
7,4,128,5300,10826.0
7,4,256,7500,18550.0
7,8,128,4800,11416.0
6,6,64,7300,7826.0
5,4,256,3700,19474.0
3,4,128,4700,14314.0
4,6,256,5600,20312.0
3,4,128,5900,14338.0
1,8,128,4600,23912.0
1,8,128,6800,23956.0
5,4,256,7700,19554.0
8,6,128,8000,10680.0
1,8,128,3700,23894.0
6,4,128,4000,11300.0
6,4,128,7100,11362.0
7,4,256,5800,18516.0
2,8,128,6700,16954.0
8,8,64,6100,7102.0
7,4,64,4000,6960.0
1,8,128,5800,23936.0
3,8,64,3100,11042.0
5,4,256,5000,19500.0
6,4,256,3600,18972.0
2,4,64,6300,12506.0
5,6,256,5900,19818.0
2,8,256,5400,24608.0
1,4,64,7400,19528.0
2,6,64,7100,12822.0
8,4,128,6900,10358.0
8,4,128,6000,10340.0
2,8,256,6000,24620.0
5,8,128,6400,12448.0
4,6,128,6000,12640.0
8,8,256,7200,18644.0
5,8,256,7400,20148.0
6,4,64,5900,7498.0
2,6,64,5600,12792.0
1,8,64,4400,20068.0
8,8,256,4400,18588.0
5,8,128,4500,12410.0
1,4,256,6100,31022.0
4,8,64,7400,9128.0
6,8,128,7000,11960.0
7,8,256,7900,19158.0
5,6,128,7700,12174.0
1,6,256,7900,31358.0
8,4,128,7200,10364.0
1,6,64,5500,19790.0
4,4,128,5300,12326.0
4,8,128,8000,12980.0
6,4,128,7200,11364.0
6,4,64,4100,7462.0
2,6,128,5300,16626.0
7,8,256,4300,19086.0
2,6,64,4500,12770.0
5,4,128,6800,11856.0
8,4,256,4200,17984.0
1,8,256,6300,31626.0
4,4,256,7300,20046.0
4,6,128,3700,12594.0
8,8,128,7500,10970.0
6,6,128,6300,11646.0
3,6,128,3400,14588.0
7,6,128,5600,11132.0
4,6,64,7500,8830.0
3,6,64,4900,10778.0
3,4,64,6900,10518.0
6,6,256,4400,19288.0
6,8,128,4500,11910.0
2,6,256,6900,24338.0
3,8,256,3800,22576.0
3,6,256,8000,22360.0
7,6,256,4900,18798.0
3,8,64,6500,11110.0
7,6,256,3400,18768.0
8,4,128,4100,10302.0
2,8,64,7300,13126.0
6,4,64,5100,7482.0
5,6,128,3100,12082.0
4,4,256,4500,19990.0
7,6,64,6200,7304.0
2,8,64,5300,13086.0
8,4,256,5400,18008.0
1,8,128,6000,23940.0
1,4,256,4400,30988.0
8,4,128,3400,10288.0
3,8,128,4500,14910.0
